Longitude,Latitude,HousingMedianAge,TotalRooms,TotalBedrooms,Population,Households,MedianIncome,MedHouseVal
-115.9481,36.0918,13,2925,617.0,2192,582,6.8518,9.5542
-114.9556,39.2895,14,3305,685.0,1193,244,6.724,5.0
-122.8538,35.9374,29,2272,486.0,2108,745,8.7806,5.0
-121.9217,34.9124,33,790,596.0,1342,536,12.6827,5.0
-123.0643,32.8932,24,2923,373.0,1216,711,8.5269,5.0
-114.3391,39.2341,25,3368,552.0,1406,443,8.5209,5.0
-114.4691,36.0127,45,2666,427.0,1536,39,13.2072,5.0
-116.7891,37.4917,21,2090,634.0,1005,631,11.329,5.0
-118.0978,40.8458,31,3336,166.0,440,803,11.2682,5.0
-122.8047,38.7474,22,2600,145.0,2640,168,13.3431,5.0
-121.3259,34.8287,12,1361,692.0,1141,248,6.8034,5.0
-123.0697,35.1543,36,2775,627.0,118,422,10.3737,5.0
-120.7566,38.4181,1,1157,293.0,3,436,7.7475,5.0
-123.4245,40.3791,52,3788,500.0,3,59,13.7102,5.0
-124.2017,34.2191,33,3211,270.0,984,957,12.7519,5.0
-123.8139,36.4634,25,1504,1135.0,2401,763,6.7275,5.0
-119.9313,34.4622,27,2912,126.0,251,340,15.0,5.0
-122.7639,33.6296,20,4123,1043.0,1194,29,6.4461,5.0
-123.8139,39.0851,52,164,333.0,104,594,14.405,5.0
-116.7901,36.3329,33,2501,682.0,2218,1016,10.3373,5.0
-116.6883,36.4064,8,4585,490.0,1688,715,7.1381,5.0
-114.8678,40.5063,33,853,457.0,1658,800,6.5566,5.0
-116.2892,32.6334,40,2469,826.0,2397,255,8.6754,5.0
-114.8206,34.6718,22,1000,793.0,2609,561,9.5537,5.0
-117.8056,33.0131,51,2585,483.0,2167,110,7.5439,5.0
-119.0449,32.6889,34,6,310.0,1010,1014,11.6923,5.0
-120.2153,37.5404,16,767,1145.0,474,648,5.9489,5.0
-121.0313,35.5717,35,2035,957.0,676,1,9.6087,5.0
-124.2376,38.9547,52,2825,604.0,166,20,9.6353,5.0
-117.2281,34.325,39,3106,481.0,2726,625,5.0579,5.0
-121.178,33.7305,1,3161,647.0,1290,536,10.7153,5.0
-117.0001,39.4775,9,4008,588.0,1520,419,6.2352,5.0
-114.8845,32.9854,4,3481,900.0,1569,660,4.0761,5.0
-116.4137,37.7344,34,3528,294.0,2881,1022,7.7969,5.0
-119.2761,32.9967,50,1516,571.0,1023,595,8.9024,5.0
-118.7669,41.3734,22,2480,345.0,2279,31,13.1514,5.0
-115.4458,40.9717,26,6396,931.0,1647,459,8.1462,5.0
-121.9805,33.0346,46,5322,1070.0,1319,159,15.0,5.0
-118.4607,41.4568,13,3636,539.0,47,291,15.0,9.8309
-118.3743,37.7742,33,3532,716.0,2090,584,14.0357,5.0
-118.3051,39.5253,52,3824,959.0,893,455,15.0,5.0
-121.4704,40.5114,43,2190,481.0,1098,223,10.8673,5.0
-119.7823,36.8027,50,4965,304.0,1591,492,7.949,5.0
-119.2925,36.8526,43,2223,856.0,1497,287,12.0424,8.3051
-116.3976,35.6739,36,2568,707.0,2239,637,13.4449,5.0
-114.6547,38.3311,12,5222,507.0,946,436,10.4575,5.0
-123.8673,32.798,47,218,974.0,1548,600,8.8505,5.0
-116.3485,38.9967,5,3090,631.0,1630,429,5.6085,5.0
-119.4908,39.4585,47,637,67.0,1448,693,12.1591,5.0
-117.885,39.0687,40,1895,662.0,1919,463,10.8727,5.0
-118.931,38.3855,47,2556,549.0,1246,495,6.1471,5.0
-116.2745,35.5579,3,2249,1092.0,2298,351,9.9668,5.0
-120.2838,38.9815,39,2869,561.0,918,535,12.3564,8.0347
-120.3932,36.1649,50,1760,508.0,393,37,9.2744,5.0
-118.8412,38.6097,49,2542,688.0,1400,1191,12.62,5.0
-114.6121,34.8903,36,1265,634.0,2281,321,12.4939,5.0
-120.1353,35.017,49,2207,171.0,1058,523,5.7853,5.0
-120.1135,38.6838,23,1027,599.0,978,374,8.6793,5.0
-119.282,34.1339,2,3438,474.0,1181,371,11.3834,5.0
-114.3364,40.4236,35,1136,959.0,1549,602,13.2139,5.0
-122.7759,40.2922,42,3483,1238.0,1303,364,15.0,9.0612
-118.3445,37.7465,7,2175,253.0,1654,386,4.9665,10.934
-118.2415,34.9654,22,2306,295.0,192,139,9.4122,5.0
-115.4131,35.7634,34,4059,330.0,2510,257,12.3297,5.0
-120.8844,33.9113,7,2792,382.0,1850,193,14.6964,5.0
-118.1792,39.5851,48,424,372.0,810,965,15.0,5.0
-121.8456,41.5838,2,3255,581.0,2419,150,6.9729,5.0
-120.4742,33.6169,1,6,871.0,1754,218,8.4667,5.0
-123.638,33.1841,2,2980,202.0,2490,547,6.6915,5.0
-121.5737,36.6213,49,2190,135.0,582,868,12.7747,5.0
-120.4708,41.731,27,1007,50.0,2625,56,6.0949,5.0
-121.3859,34.4699,17,2757,875.0,1463,94,14.4961,5.0
-120.2202,34.4464,46,2299,938.0,3,529,13.3088,5.0
-121.4838,36.3064,21,5041,136.0,1973,584,11.3959,5.0
-121.8253,35.6841,6,2145,109.0,1213,128,4.5472,9.4071
-120.937,35.025,49,4967,603.0,700,28,7.6194,5.0
-117.6218,37.9603,18,4304,872.0,1275,246,12.4746,5.0
-118.1087,33.5282,42,1939,850.0,30,690,5.9006,5.0
-114.5055,33.3539,7,1696,620.0,1851,485,8.8634,5.0
-123.0163,37.1748,21,4231,757.0,1274,690,9.2879,5.0
-116.2534,41.5035,11,2502,658.0,1235,468,13.0973,5.0
-123.5904,34.365,51,2854,411.0,2449,487,10.6171,5.0
-122.1065,34.6715,41,2362,1101.0,1455,655,10.5873,10.6421
-124.2229,34.6465,2,1227,566.0,953,465,8.2692,5.0
-119.3542,33.3012,13,2221,255.0,745,557,9.6464,5.0
-124.2726,33.4282,35,1523,435.0,1386,258,9.1916,5.0
-123.7375,35.5285,29,844,135.0,2197,339,12.3841,5.0
-117.8729,35.2154,27,2315,571.0,1011,617,9.049,5.0
-117.8433,38.0826,7,4787,873.0,682,433,13.7632,5.0
-123.4372,34.0541,47,4588,212.0,2095,301,5.3523,5.0
-118.1287,41.1443,21,2590,882.0,1473,666,14.5802,5.0
-120.0824,37.9087,1,2826,1153.0,1412,637,9.077,5.0
-115.6285,40.1349,23,3275,672.0,2933,493,14.2203,5.0
-118.577,33.7072,17,4284,242.0,555,298,9.9091,5.0
-119.0918,40.2577,5,3043,328.0,1573,728,12.9363,5.0
-114.3862,36.3731,25,2095,473.0,150,1144,15.0,5.0
-121.6094,35.6436,23,2198,207.0,1213,281,7.9475,5.0
-119.8164,40.8497,4,4015,216.0,1853,94,9.8957,5.0
-116.5893,36.6809,44,5768,494.0,2241,292,9.076,10.7459
-117.0869,35.2875,34,1918,516.0,514,252,10.3441,5.0
-123.9816,36.304,38,219,736.0,2032,166,5.4978,5.0
-124.275,38.1089,45,3631,230.0,1994,187,9.0715,5.0
-121.5804,34.8015,34,2573,1091.0,1341,715,8.8298,5.0
-114.5897,37.2735,48,2830,864.0,3204,718,7.3332,5.0
-123.736,35.6165,7,4140,816.0,1430,879,8.9978,5.0
-124.1873,33.7117,8,2745,,795,688,5.6453,5.0
-115.0983,32.7729,14,1081,1054.0,1736,370,15.0,5.0
-122.9771,40.3235,27,321,470.0,87,776,11.2321,5.0
-121.2024,41.0293,17,2608,1075.0,2554,335,15.0,5.0
-115.6903,35.2024,52,1282,867.0,2142,404,7.1129,5.0
-120.3782,39.7555,36,3011,315.0,1141,189,6.4273,5.0
-123.9456,36.3711,4,1143,439.0,1872,813,10.6084,5.0
-120.1958,35.8311,44,2244,1091.0,1816,756,5.4044,5.0
-117.0333,35.224,37,908,847.0,2824,373,10.4032,5.0
-122.7917,35.6339,33,2232,523.0,986,413,7.5444,5.0
-121.7126,35.8684,15,2132,624.0,499,503,8.5696,5.0
-121.0202,33.6232,16,3377,622.0,3,546,10.5026,5.0
-124.2842,40.3185,48,4271,350.0,1216,713,9.7725,10.1177
